"Event No","Event","Hash No","For Display","Annotations_English","Annotations_Spanish","Annotations_French"
33,"CoP10","#8","CoP10 #8","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) finished pharmaceutical products.","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de ejemplares reproducidos artificialmen-te; y<p>d) los productos farmacéuticos elaborados","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les produits pharmaceutiques finis"
34,"CoP11","#1","CoP11 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and<p>
c) cut flowers of artificially propagated plants","Designa todas las partes y derivados, excepto: <p>a) las semillas, las esporas y el polen (inclusive las polinias); <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; y <p>c) las flores cortadas de plantas reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, les spores et le pollen (y compris les pollinies); <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; et <p>c) les fleurs coupées des plantes reproduites artificiellement"
34,"CoP11","#2","CoP11 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) chemical derivatives and finished pharmaceutical products","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen; <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; <p>c) las flores cortadas de plantas reproducidas artificialmente; y <p>d) los derivados químicos y productos farmacéuticos acabados","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement; et <p>d) les produits chimiques et les produits pharmaceutiques finis"
34,"CoP11","#3","CoP11 #3","Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery","Designa raíces enteras o en rodajas o partes de raíces, excluidas las partes o derivados manufactura-dos, tales como polvos, pastillas, extractos, tónicos, tés y otros preparados","Sert à désigner les racines entières et tranchées et les parties de racines, à l'exception des parties et produits transformés, tels que poudres, pilules, extraits, toniques, tisanes et autres préparations"
34,"CoP11","#4","CoP11 #4","Designates all parts and derivatives, except:<p>
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Opuntia</i> subgenus <i>Opuntia</i>","Designa todas las partes y derivados, excepto: <p>a) las semillas, excepto las de las cactáceas mexicanas originarias de México, y el polen; <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; <p>c) las flores cortadas de plantas reproducidas artificialmente; <p>d) los frutos, y sus partes y derivados, de plantas aclimatadas o reproducidas artificialmente; y <p>e) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género <i>Opuntia</i> subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, sauf celles des cactus mexicains provenant du Mexique, et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement; <p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et <p>e) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
34,"CoP11","#5","CoP11 #5","Designates logs, sawn wood and veneer sheets","Designa trozas, madera aserrada y láminas de chapa de madera","Sert à désigner les grumes, les bois sciés et les placages"
34,"CoP11","#6","CoP11 #6","Designates logs, wood-chips and unprocessed broken material","Designa trozas, troceados de madera y material no elaborado","Sert à désigner les grumes, les copeaux et les matériaux déchiquetés non transformés"
34,"CoP11","#7","CoP11 #7","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen (inclusive las polinias); <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; <p>c) las flores cortadas de ejemplares reproducidos artificialmente; y <p>d) los frutos, y sus partes y derivados, de plantas del género <i>Vanilla</i> reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen (y compris les pollinies); <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement; et <p>d) les fruits, et leurs parties et produits, de plantes du genre <i>Vanilla</i> reproduites artificiellement"
35,"CoP12","#1","CoP12 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and<p>
c) cut flowers of artificially propagated plants","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; y<p>c) las flores cortadas de plantas reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles; et<p>c) les fleurs coupées des plantes reproduites artificiellement"
35,"CoP12","#2","CoP12 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) chemical derivatives and finished pharmaceutical products","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente; y<p>d) los derivados químicos y productos farmacéuticos acabados","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les produits chimiques et les produits pharmaceutiques finis"
35,"CoP12","#3","CoP12 #3","Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery","Designa las raíces enteras o en rodajas o partes de las raíces, excluidas las partes o derivados manufactura-dos, tales como polvos, pastillas, extractos, tónicos, tés y otros preparados","Sert à désigner les racines entières et tranchées et les parties de racines, à l'exception des parties et produits transformés tels que poudres, pilules, extraits, toniques, tisanes et autres préparations"
35,"CoP12","#4","CoP12 #4","Designates all parts and derivatives, except:<p>
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Opuntia</i> subgenus <i>Opuntia</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas, excepto las de las cactáceas mexicanas originarias de México, y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente;<p>d) los frutos, y sus partes y derivados, de plantas aclimatadas o reproducidas artificialmente; y<p>e) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género <i>Opuntia</i> subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, sauf celles des cactus mexicains provenant du Mexique, et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement;<p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et<p>e) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
35,"CoP12","#5","CoP12 #5","Designates logs, sawn wood and veneer sheets","Designa trozas, madera aserrada y láminas de chapa de madera","Sert à désigner les grumes, les bois sciés et les placages"
35,"CoP12","#6","CoP12 #6","Designates logs, sawn wood, veneer sheets and plywood","Designa trozas, madera aserrada, láminas de chapa de madera y madera contrachapada","Sert à désigner les grumes, les bois sciés, les placages et les contreplaqués"
35,"CoP12","#7","CoP12 #7","Designates logs, wood-chips and unprocessed broken material","Designa trozas, troceados de madera y material fragmentado no elaborado","Sert à désigner les grumes, les copeaux et les matériaux déchiquetés non transformés"
35,"CoP12","#8","CoP12 #8","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de ejemplares reproducidos artificialmen-te; y<p>d) los frutos, y sus partes y derivados, de plantas del género <i>Vanilla</i> reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen (y compris les pollinies);<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, de plantes du genre <i>Vanilla</i> reproduites artificiellement"
36,"CoP13","#1","CoP13 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and<p>
c) cut flowers of artificially propagated plants","Designa todas las partes y derivados, excepto: <p>a) las semillas, las esporas y el polen (inclusive las polinias); <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; y <p>c) las flores cortadas de plantas reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, les spores et le pollen (y compris les pollinies); <p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles; et <p>c) les fleurs coupées des plantes reproduites artificiellement"
36,"CoP13","#2","CoP13 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) chemical derivatives and finished pharmaceutical products","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen; <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; <p>c) las flores cortadas de plantas reproducidas artificialmente; y <p>d) los derivados químicos y productos farmacéuticos acabados","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement; et <p>d) les produits chimiques et les produits pharmaceuti­ques finis"
36,"CoP13","#3","CoP13 #3","Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery","Designa las raíces enteras o en rodajas o partes de las raíces, excluidas las partes o derivados manufactura-dos, tales como polvos, pastillas, extractos, tónicos, tés y otros preparados","Sert à désigner les racines entières et tranchées et les parties de racines, à l'exception des parties et produits transformés tels que poudres, pilules, extraits, toniques, tisanes et autres préparations"
36,"CoP13","#4","CoP13 #4","Designates all parts and derivatives, except:<p>
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Opuntia</i> subgenus <i>Opuntia</i>","Designa todas las partes y derivados, excepto: <p>a) las semillas, excepto las de las cactáceas mexicanas originarias de México, y el polen; <p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; <p>c) las flores cortadas de plantas reproducidas artificialmente; <p>d) los frutos, y sus partes y derivados, de plantas aclimatadas o reproducidas artificialmente; y <p>e) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género <i>Opuntia</i> subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, sauf celles des cactus mexicains provenant du Mexique, et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement; <p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et <p>e) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
36,"CoP13","#5","CoP13 #5","Designates logs, sawn wood and veneer sheets","Designa trozas, madera aserrada y láminas de chapa de madera","Sert à désigner les grumes, les bois sciés et les placages"
36,"CoP13","#6","CoP13 #6","Designates logs, sawn wood, veneer sheets and plywood","Designa trozas, madera aserrada, láminas de chapa de madera y madera contrachapada","Sert à désigner les grumes, les bois sciés, les placages et les contreplaqués"
36,"CoP13","#7","CoP13 #7","Designates logs, wood-chips and unprocessed broken material","Designa trozas, troceados de madera y material fragmentado no elaborado","Sert à désigner les grumes, les copeaux et les matériaux déchiquetés non transformés"
36,"CoP13","#8","CoP13 #8","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; <p>c) las flores cortadas de ejemplares reproducidos artificialmen-te; y <p>d) los frutos, y sus partes y derivados, de plantas del género <i>Vanilla</i> reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen (y compris les pollinies); <p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificielle­ment; et <p>d) les fruits, et leurs parties et produits, de plantes du genre <i>Vanilla</i> reproduites artificiellement"
36,"CoP13","#9","CoP13 #9","Designates all parts and derivatives except those bearing the label ""Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx""","Designa todas las partes y derivados, excepto los que lleven una etiqueta en la que se indique: “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx” <p>(Producido a partir de material de <i>Hoodia</i> spp. obtenido mediante recolección y producción controlada en colaboración con las Autoridades Administrati-vas CITES de Botswana/Namibia/Sudáfrica con arreglo al acuerdo No. BW/NA/ZA xxxxxx)","Sert à désigner toutes les parties et tous les produits sauf ceux portant le label “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx” (Produit issu de matériels d'<i>Hoodia</i> spp. obtenus par prélèvement et production contrôlés, en collaboration avec les organes de gestion CITES de l'Afrique du Sud, du Botswana ou de la Namibie selon l'accord no BW/NA/ZA xxxxxx)"
36,"CoP13","#10","CoP13 #10","Designates all parts and derivatives, except:<p>
a) seeds and pollen; and<p>
b) finished pharmaceutical products","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen; y<p>b) productos farmacéuticos acabados","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; et <p>b) les produits pharmaceutiques finis."
37,"CoP14","#1","CoP14 #1","All parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente; y<p>d) los frutos, y sus partes y derivados, de plantas reproducidas artificialmente del género <i>Vanilla</i>","Toutes les parties et tous les produits sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les semis et les cultures de tissus obtenus in vitro, en milieu solide ou liquide, transportés dans des conteneurs stériles;<p>c) les fleurs coupées provenant de plantes reproduites artificiellement; et<p>d) les fruits et leurs parties et produits provenant de plantes reproduites artificiellement du genre <i>Vanilla</i>"
37,"CoP14","#2","CoP14 #2","All parts and derivatives except:<p>
a) seeds and pollen; and<p>
b) finished products packaged and ready for retail trade","Todas las partes y derivados, excepto:<p>a) las semillas y el polen; y<p>b) los productos acabados empaquetados y preparados para el comercio al por menor","Toutes les parties et tous les produits sauf:<p>a) les graines et le pollen; et<p>b) les produits finis conditionnés et prêts pour la vente au détail"
37,"CoP14","#3","CoP14 #3","Whole and sliced roots and parts of roots","Raíces enteras o en rodajas y partes de las raíces","Les racines entières et coupées, ainsi que les parties de racines"
37,"CoP14","#4","CoP14 #4","All parts and derivatives, except:<p>
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Opuntia</i> subgenus <i>Opuntia</i> .","Todas las partes y derivados, excepto:<p>a) las semillas, excepto las de las cactáceas mexicanas originarias de México, y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente;<p>d) los frutos, y sus partes y derivados, de plantas aclimatadas o reproducidas artificialmente; y<p>e) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género <i>Opuntia</i> subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Toutes les parties et tous les produits, sauf:<p>a) les graines, sauf celles des cactus mexicains provenant du Mexique, et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement;<p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et<p>e) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
37,"CoP14","#5","CoP14 #5","Logs, sawn wood and veneer sheets","Trozas, madera aserrada y láminas de chapa de madera","Les grumes, les bois sciés et les placages"
37,"CoP14","#6","CoP14 #6","Logs, sawn wood, veneer sheets and plywood","Trozas, madera aserrada, láminas de chapa de madera y madera contrachapada","Les grumes, les bois sciés, les placages et les contreplaqués"
37,"CoP14","#7","CoP14 #7","Logs, wood-chips, powder and extracts","Trozas, troceados de madera, polvo y extractos","Les grumes, les copeaux, la poudre et les extraits"
37,"CoP14","#8","CoP14 #8","Underground parts (i.e. roots, rhizomes): whole, parts and powdered","Partes subterráneas (es decir, raíces y rizomas): enteras, partes y en polvo","Toutes les parties souterraines (les racines, les rhizomes): entières, en morceaux ou en poudre"
37,"CoP14","#9","CoP14 #9","All parts and derivatives except those bearing a label “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx”","Todas las partes y derivados, excepto los que lleven una etiqueta en la que se indique: “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/ Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx” <p>(Producido a partir de material de <i>Hoodia</i> spp. obtenido mediante recolección y producción controlada en colaboración con las Autoridades Administrati-vas CITES de Botswana/ Namibia/ Sudáfrica con arreglo al acuerdo No. BW/NA/ZA xxxxxx)","Toutes les parties et tous les produits sauf ceux portant le label “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx” (Produit issu de matériels d'<i>Hoodia</i> spp. obtenus par prélèvement et production contrôlés, en collaboration avec les organes de gestion CITES de l'Afrique du Sud, du Botswana ou de la Namibie selon l'accord no BW/NA/ZA xxxxxx)"
37,"CoP14","#10","CoP14 #10","Logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments","Trozas, madera aserrada, láminas de chapa de madera, incluyendo artículos de madera no terminados utilizados para la fabricación de arcos para instrumentos musicales de cuerda","Les grumes, les bois sciés, les placages, y compris les articles en bois non finis utilisés dans la fabrication des archets d’instruments de musique à cordes"
37,"CoP14","#11","CoP14 #11","Logs, sawn wood, veneer sheets, plywood, powder and extracts","Trozas, madera aserrada, láminas de chapa de madera, polvo y extractos","Grumes, bois sciés, placages, contreplaqués, poudre et extraits"
38,"CoP15","#1","CoP15 #1","All parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits, and parts and derivatives thereof, of artificially propagated plants of the genus <i>Vanilla</i>","Todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente; y<p>d) los frutos, y sus partes y derivados, de plantas reproducidas artificialmente del género <i>Vanilla</i>.","Toutes les parties et tous les produits sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les semis et les cultures de tissus obtenus in vitro, en milieu solide ou liquide, transportés dans des conteneurs stériles;<p>c) les fleurs coupées provenant de plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, provenant de plantes reproduites artificiellement du genre <i>Vanilla</i>."
38,"CoP15","#2","CoP15 #2","All parts and derivatives except:<p>
a) seeds and pollen; and<p>
b) finished products packaged and ready for retail trade","Todas las partes y derivados, excepto:<p>a) las semillas y el polen; y<p>b) los productos acabados empaquetados y preparados para el comercio al por menor.","Toutes les parties et tous les produits sauf:<p>a) les graines et le pollen; et<p>b) les produits finis conditionnés et prêts pour la vente au détail."
38,"CoP15","#3","CoP15 #3","Whole and sliced roots and parts of roots","Raíces enteras o en rodajas y partes de las raíces.","Les racines entières et coupées, ainsi que les parties de racines."
38,"CoP15","#4","CoP15 #4","All parts and derivatives, except:<p>
a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Vanilla</i>  (Orchidaceae) and of the family Cactaceae;<p>
e) stems, flowers, and parts and derivatives thereof of naturalized or artificially propagated plants of the genera <i>Opuntia</i> subgenus <i>Opuntia</i> and Selenicereus (Cactaceae); and<p>
f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade","Todas las partes y derivados, excepto:<p>a) las semillas (inclusive las vainas de Orchidaceae), las esporas y el polen (inclusive las polinias). La exención no se aplica a las semillas de Cactaceae spp. exportadas de México y las semillas de Beccariophoenix madagascariensis y Neodypsis decaryi exportadas de Madagascar;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente;<p>d) los frutos, y sus partes y derivados, de plantas naturalizadas o reproducidas artificialmente del género <i>Vanilla</i> (Orchidaceae) y de la familia Cactaceae;<p>e) los tallos, las flores, y sus partes y derivados, de plantas naturalizadas o reproducidas artificialmente de los géneros <i>Opuntia</i> subgénero <i>Opuntia</i> y Selenicereus (Cactaceae); y<p>f) los productos acabados de <i>Euphorbia antisyphilitica</i> empaquetados y preparados para el comercio al por menor.","Toutes les parties et tous les produits, sauf:<p>a) les graines (y compris les gousses d’Orchidaceae), les spores et le pollen (y compris les pollinies). La dérogation ne s’applique ni aux graines de Cactaceae spp. exportées du Mexique, ni aux graines de Beccariophoenix madagascariensis et de Neodypsis decaryi exportées de Madagascar; <p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles; <p>c) les fleurs coupées provenant de plantes reproduites artificiellement; <p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement du genre <i>Vanilla</i> (Orchidaceae) et de la famille Cactaceae;<p>e) les tiges, les fleurs, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement des genres <i>Opuntia</i> sous-genre <i>Opuntia</i> et Selenicereus (Cactaceae); et<p>f) les produits finis d’<i>Euphorbia antisyphilitica</i> emballés et prêts pour le commerce de détail."
38,"CoP15","#5","CoP15 #5","Logs, sawn wood and veneer sheets","Trozas, madera aserrada y láminas de chapa de madera.","Les grumes, les bois sciés et les placages."
38,"CoP15","#6","CoP15 #6","Logs, sawn wood, veneer sheets and plywood","Trozas, madera aserrada, láminas de chapa de madera y madera contrachapada.","Les grumes, les bois sciés, les placages et les contreplaqués."
38,"CoP15","#7","CoP15 #7","Logs, wood-chips, powder and extracts","Trozas, troceados de madera, polvo y extractos.","Les grumes, les copeaux, la poudre et les extraits."
